Site,Condition_Type,Condition,Uncertainty_Score,Error_Score,Rarity_Score,Variability_Score,Priority_Score,Mean_Uncertainty,Mean_MAE,N_samples,Priority_Rank
UK-AMo,Season,Summer season,1.0,1.0,0.8021,1.0,0.9604,1.9153,2.5981,1792,1
SE-Htm,Season,Summer season,1.0,1.0,0.6711,1.0,0.9342,3.0217,4.9077,1647,2
UK-AMo,Feature,TA_F Q4 (High),1.0,1.0,0.9583,0.2897,0.9206,1.6479,2.3673,2265,3
SE-Htm,Feature,TA_F Q4 (High),1.0,1.0,0.9583,0.1395,0.9056,3.0054,4.8487,1252,4
SE-Htm,Feature,LW_IN_F Q4 (High),0.9488,0.9632,0.9583,0.202,0.8803,2.8514,4.6704,1252,5
UK-AMo,Feature,LW_IN_F Q4 (High),0.894,0.9424,0.9583,0.3344,0.8654,1.4732,2.2309,2264,6
SE-Htm,Feature,VPD_F Q4 (High),0.9339,0.9316,0.9583,0.1618,0.8609,2.8067,4.5172,1252,7
UK-AMo,Feature,VPD_F Q4 (High),0.9256,0.8305,0.9583,0.3104,0.8421,1.5252,1.9661,2265,8
SE-Htm,Feature,TA_F Q3 (Med-High),0.8952,0.9135,0.9583,0.1447,0.8382,2.6903,4.4291,1252,9
SE-Htm,Feature,SW_IN_F Q4 (High),0.8829,0.8875,0.9583,0.207,0.8318,2.6535,4.3032,1252,10
UK-AMo,Feature,SW_IN_F Q4 (High),0.8781,0.8282,0.9583,0.3482,0.8262,1.447,1.9606,2264,11
UK-AMo,Feature,TA_F Q3 (Med-High),0.7894,0.8488,0.9583,0.2734,0.7894,1.3008,2.0092,2265,12
SE-Htm,Feature,VPD_F Q3 (Med-High),0.7774,0.7777,0.9583,0.2701,0.7629,2.3364,3.7708,1253,13
SE-Htm,Season,Spring season,0.7578,0.757,0.6405,0.7578,0.7341,2.2899,3.715,1800,14
UK-AMo,Season,Autumn season,0.6077,0.8717,0.813,0.6077,0.7279,1.1639,2.2648,1693,15
UK-AMo,Feature,P_F Q3 (Med-High),0.7233,0.7278,0.8922,0.379,0.724,1.1918,1.7229,5855,16
SE-Htm,Feature,WS_F Q2 (Med-Low),0.707,0.7164,0.9584,0.327,0.7221,2.1248,3.4734,1251,17
SE-Htm,Feature,WS_F Q3 (Med-High),0.7074,0.7152,0.9583,0.3158,0.7208,2.126,3.4677,1252,18
UK-AMo,Feature,WS_F Q2 (Med-Low),0.6758,0.7183,0.9583,0.365,0.714,1.1136,1.7005,2267,19
UK-AMo,Feature,WS_F Q1 (Low),0.6954,0.684,0.9585,0.3828,0.7133,1.146,1.6191,2256,20
SE-Htm,Feature,LW_IN_F Q3 (Med-High),0.6811,0.7069,0.9583,0.3257,0.7088,2.0471,3.4274,1252,21
SE-Htm,Feature,WS_F Q1 (Low),0.6851,0.6842,0.9583,0.3546,0.7064,2.0589,3.3176,1252,22
UK-AMo,Season,Spring season,0.7198,0.6088,0.8066,0.7198,0.7039,1.3787,1.5816,1751,23
SE-Htm,Feature,SW_IN_F Q3 (Med-High),0.6667,0.6911,0.9583,0.3206,0.6978,2.0038,3.351,1252,24
UK-AMo,Feature,VPD_F Q1 (Low),0.6232,0.727,0.9584,0.3549,0.6945,1.027,1.721,2261,25
UK-AMo,Feature,WS_F Q3 (Med-High),0.6635,0.6632,0.9583,0.3737,0.6934,1.0934,1.5699,2265,26
UK-AMo,Feature,LW_IN_F Q3 (Med-High),0.6514,0.6601,0.9583,0.3695,0.6872,1.0735,1.5625,2265,27
SE-Htm,Feature,P_F Q4 (High),0.6804,0.6928,0.8333,0.337,0.6804,2.0447,3.3592,5007,28
SE-Htm,Feature,WS_F Q4 (High),0.622,0.6555,0.9583,0.3423,0.6713,1.8692,3.1782,1252,29
UK-AMo,Feature,SW_IN_F Q3 (Med-High),0.619,0.6236,0.9583,0.376,0.6639,1.02,1.4761,2264,30
SE-Htm,Feature,LW_IN_F Q2 (Med-Low),0.5734,0.5989,0.9584,0.3238,0.6331,1.7232,2.9039,1251,31
SE-Htm,Feature,SW_IN_F Q2 (Med-Low),0.5858,0.5963,0.9167,0.3534,0.6319,1.7606,2.8911,2503,32
UK-AMo,Feature,LW_IN_F Q2 (Med-Low),0.5636,0.5876,0.9584,0.351,0.6285,0.9288,1.3911,2262,33
UK-AMo,Feature,VPD_F Q3 (Med-High),0.5669,0.5304,0.9583,0.3264,0.6102,0.9341,1.2556,2264,34
UK-AMo,Feature,WS_F Q4 (High),0.5414,0.5503,0.9583,0.3571,0.609,0.8921,1.3028,2267,35
UK-AMo,Feature,SW_IN_F Q2 (Med-Low),0.5394,0.5819,0.9167,0.3328,0.6069,0.8888,1.3776,4527,36
SE-Htm,Feature,TA_F Q2 (Med-Low),0.5279,0.5472,0.9584,0.2519,0.5922,1.5864,2.6532,1251,37
SE-Htm,Feature,LW_IN_F Q1 (Low),0.518,0.5021,0.9583,0.3046,0.58,1.5568,2.4346,1252,38
SE-Htm,Feature,VPD_F Q2 (Med-Low),0.5049,0.5308,0.9167,0.3317,0.5777,1.5173,2.5736,2502,39
UK-AMo,Feature,P_F Q4 (High),0.4989,0.5187,0.9411,0.3191,0.5753,0.8221,1.2279,3200,40
UK-AMo,Feature,VPD_F Q2 (Med-Low),0.4601,0.5278,0.9583,0.3363,0.5677,0.7582,1.2495,2265,41
UK-AMo,Feature,TA_F Q2 (Med-Low),0.5102,0.4788,0.9583,0.2798,0.5674,0.8408,1.1335,2263,42
UK-AMo,Feature,LW_IN_F Q1 (Low),0.4667,0.4255,0.9583,0.299,0.5359,0.769,1.0072,2264,43
SE-Htm,Feature,TA_F Q1 (Low),0.2983,0.3104,0.9583,0.1814,0.4222,0.8964,1.5051,1252,44
UK-AMo,Feature,TA_F Q1 (Low),0.2757,0.2874,0.9584,0.1518,0.4033,0.4542,0.6804,2262,45
SE-Htm,Season,Winter season,0.2417,0.2677,0.6884,0.2417,0.3388,0.7303,1.3138,1560,46
UK-AMo,Season,Winter season,0.245,0.2779,0.5782,0.245,0.3215,0.4692,0.722,3819,47
