site,model,feature,feature_group,delta_rmse,rank
UK-AMo,Random Forest,SW_IN_F,Meteorological,0.283221,17
UK-AMo,Random Forest,LW_IN_F,Meteorological,0.068485,15
UK-AMo,Random Forest,VPD_F,Meteorological,0.004573,9
UK-AMo,Random Forest,TA_F,Meteorological,0.059787,14
UK-AMo,Random Forest,PA_F,Meteorological,-0.002128,5
UK-AMo,Random Forest,P_F,Meteorological,-4.7e-05,7
UK-AMo,Random Forest,WS_F,Meteorological,0.049023,13
UK-AMo,Random Forest,G_F_MDS,Energy Fluxes,-0.035988,2
UK-AMo,Random Forest,LE_F_MDS,Energy Fluxes,0.390699,18
UK-AMo,Random Forest,H_F_MDS,Energy Fluxes,0.021038,10
UK-AMo,Random Forest,MODIS_band_1,Remote Sensing,0.046751,12
UK-AMo,Random Forest,MODIS_band_2,Remote Sensing,0.137429,16
UK-AMo,Random Forest,MODIS_band_3,Remote Sensing,-0.012919,3
UK-AMo,Random Forest,MODIS_band_4,Remote Sensing,0.026288,11
UK-AMo,Random Forest,MODIS_band_5,Remote Sensing,0.000178,8
UK-AMo,Random Forest,MODIS_band_6,Remote Sensing,-0.011959,4
UK-AMo,Random Forest,MODIS_band_7,Remote Sensing,-0.052627,1
UK-AMo,Random Forest,DOY,Temporal,-0.000391,6
UK-AMo,Random Forest,TOD,Temporal,0.521216,19
SE-Htm,Random Forest,SW_IN_F,Meteorological,0.082023,15
SE-Htm,Random Forest,LW_IN_F,Meteorological,0.016348,13
SE-Htm,Random Forest,VPD_F,Meteorological,-0.002576,10
SE-Htm,Random Forest,TA_F,Meteorological,0.043284,14
SE-Htm,Random Forest,PA_F,Meteorological,-0.090952,2
SE-Htm,Random Forest,P_F,Meteorological,-6.3e-05,11
SE-Htm,Random Forest,WS_F,Meteorological,0.100656,16
SE-Htm,Random Forest,G_F_MDS,Energy Fluxes,-0.037877,4
SE-Htm,Random Forest,LE_F_MDS,Energy Fluxes,1.216322,19
SE-Htm,Random Forest,H_F_MDS,Energy Fluxes,0.010305,12
SE-Htm,Random Forest,MODIS_band_1,Remote Sensing,0.185673,17
SE-Htm,Random Forest,MODIS_band_2,Remote Sensing,-0.088548,3
SE-Htm,Random Forest,MODIS_band_3,Remote Sensing,-0.01958,7
SE-Htm,Random Forest,MODIS_band_4,Remote Sensing,-0.70993,1
SE-Htm,Random Forest,MODIS_band_5,Remote Sensing,-0.022854,5
SE-Htm,Random Forest,MODIS_band_6,Remote Sensing,-0.007922,9
SE-Htm,Random Forest,MODIS_band_7,Remote Sensing,-0.020436,6
SE-Htm,Random Forest,DOY,Temporal,-0.019032,8
SE-Htm,Random Forest,TOD,Temporal,0.631365,18
UK-AMo,XGBoost,SW_IN_F,Meteorological,0.347778,19
UK-AMo,XGBoost,LW_IN_F,Meteorological,0.07538,15
UK-AMo,XGBoost,VPD_F,Meteorological,-0.025565,3
UK-AMo,XGBoost,TA_F,Meteorological,0.087128,16
UK-AMo,XGBoost,PA_F,Meteorological,-0.020127,4
UK-AMo,XGBoost,P_F,Meteorological,-0.000309,7
UK-AMo,XGBoost,WS_F,Meteorological,0.049204,12
UK-AMo,XGBoost,G_F_MDS,Energy Fluxes,-0.015956,5
UK-AMo,XGBoost,LE_F_MDS,Energy Fluxes,0.297407,18
UK-AMo,XGBoost,H_F_MDS,Energy Fluxes,0.019311,9
