Model1,Model2,Correlation,Q_statistic,Disagreement,Site
TEMPO Fine-Tuned,TEMPO Zero-Shot,0.9051748355881672,0.9529964054373259,0.10527465955097534,UK-AMo
TEMPO Fine-Tuned,Random Forest,0.8741761928768339,0.8947096737936935,0.17680729358360936,UK-AMo
TEMPO Fine-Tuned,XGBoost,0.8767616566758796,0.9043558767930873,0.1685874432584959,UK-AMo
TEMPO Fine-Tuned,LSTM,0.7825287614364896,0.8930687743793965,0.15397267206477733,UK-AMo
TEMPO Zero-Shot,Random Forest,0.815707382523524,0.8160557363801417,0.20977487424855845,UK-AMo
TEMPO Zero-Shot,XGBoost,0.833691434345532,0.8233298612875373,0.20438443135811557,UK-AMo
TEMPO Zero-Shot,LSTM,0.7453595720647929,0.8207421366970475,0.18813642497853025,UK-AMo
Random Forest,XGBoost,0.8949014890644069,0.9586608776132826,0.11305361305361306,UK-AMo
Random Forest,LSTM,0.8131176090496959,0.902130707801651,0.1647650595019016,UK-AMo
XGBoost,LSTM,0.7978895717411261,0.8876484722652697,0.1714206845785793,UK-AMo
TEMPO Fine-Tuned,TEMPO Zero-Shot,0.9618324254678476,0.9387029375917466,0.10189343535151918,SE-Htm
TEMPO Fine-Tuned,Random Forest,0.896812739438702,0.6217748420126281,0.32237608117099137,SE-Htm
TEMPO Fine-Tuned,XGBoost,0.9211627763945669,0.6204976281517646,0.31914642936349524,SE-Htm
TEMPO Fine-Tuned,LSTM,0.6893469214050836,0.6301496175469997,0.31694943446440454,SE-Htm
TEMPO Zero-Shot,Random Forest,0.8595754370318992,0.3316245577040547,0.3705297737857618,SE-Htm
TEMPO Zero-Shot,XGBoost,0.8982704114386114,0.332945856083529,0.3668288423153693,SE-Htm
TEMPO Zero-Shot,LSTM,0.687333040063069,0.4103899230529246,0.35552506098913284,SE-Htm
Random Forest,XGBoost,0.8706044475782031,0.9823882597121957,0.08322244400088712,SE-Htm
Random Forest,LSTM,0.6102312584658589,0.9154704343290591,0.16683993124861388,SE-Htm
XGBoost,LSTM,0.6660337319095327,0.9242062254541503,0.15886976047904192,SE-Htm
