Site,Model,Horizon,RMSE,MAE,R2
UK-AMo,Random Forest,1,1.84008,1.3253,0.7473
UK-AMo,Random Forest,2,1.89229,1.37122,0.73275
UK-AMo,Random Forest,3,1.93697,1.40357,0.71998
UK-AMo,Random Forest,4,1.97471,1.43236,0.70895
UK-AMo,Random Forest,5,1.99736,1.44432,0.70224
UK-AMo,Random Forest,6,2.01571,1.4565,0.69675
UK-AMo,Random Forest,7,2.0416,1.4739,0.68891
UK-AMo,Random Forest,8,2.07293,1.49669,0.67929
UK-AMo,Random Forest,9,2.09689,1.51726,0.67183
UK-AMo,Random Forest,10,2.11408,1.5297,0.66642
UK-AMo,Random Forest,11,2.13286,1.54193,0.66047
UK-AMo,Random Forest,12,2.13125,1.5342,0.66097
UK-AMo,Random Forest,13,2.11449,1.51709,0.66628
UK-AMo,Random Forest,14,2.0869,1.49018,0.67493
UK-AMo,Random Forest,15,2.07586,1.47716,0.67835
UK-AMo,Random Forest,16,2.06903,1.4712,0.68046
UK-AMo,Random Forest,17,2.06748,1.47242,0.68094
UK-AMo,Random Forest,18,2.07385,1.47556,0.67898
UK-AMo,Random Forest,19,2.08796,1.48479,0.6746
UK-AMo,Random Forest,20,2.09957,1.4951,0.67098
UK-AMo,Random Forest,21,2.11904,1.51002,0.66485
UK-AMo,Random Forest,22,2.14974,1.53382,0.65507
UK-AMo,Random Forest,23,2.17893,1.55961,0.64564
UK-AMo,Random Forest,24,2.20145,1.58796,0.63828
UK-AMo,Random Forest,25,2.21077,1.61057,0.63522
UK-AMo,Random Forest,26,2.2136,1.61979,0.63428
UK-AMo,Random Forest,27,2.22551,1.62909,0.63033
UK-AMo,Random Forest,28,2.2374,1.63172,0.62637
UK-AMo,Random Forest,29,2.23913,1.62706,0.6258
UK-AMo,Random Forest,30,2.23772,1.61891,0.62627
UK-AMo,Random Forest,31,2.25529,1.62661,0.62038
UK-AMo,Random Forest,32,2.28507,1.65074,0.61029
UK-AMo,Random Forest,33,2.30891,1.6643,0.60211
UK-AMo,Random Forest,34,2.33124,1.67634,0.59438
UK-AMo,Random Forest,35,2.34059,1.68431,0.59111
UK-AMo,Random Forest,36,2.33825,1.68384,0.59194
UK-AMo,Random Forest,37,2.32581,1.66918,0.59627
UK-AMo,Random Forest,38,2.30745,1.65089,0.60262
UK-AMo,Random Forest,39,2.29916,1.6397,0.60547
UK-AMo,Random Forest,40,2.29505,1.63478,0.60688
UK-AMo,Random Forest,41,2.29259,1.6329,0.60772
UK-AMo,Random Forest,42,2.29988,1.63211,0.60523
UK-AMo,Random Forest,43,2.31459,1.64194,0.60016
UK-AMo,Random Forest,44,2.3297,1.65528,0.59492
UK-AMo,Random Forest,45,2.34963,1.67667,0.58796
UK-AMo,Random Forest,46,2.37707,1.70771,0.57828
UK-AMo,Random Forest,47,2.39752,1.73671,0.57099
UK-AMo,Random Forest,48,2.40267,1.75327,0.56915
UK-AMo,Random Forest,49,2.40676,1.76004,0.56769
UK-AMo,Random Forest,50,2.41532,1.76207,0.56461
UK-AMo,Random Forest,51,2.42346,1.76429,0.56167
UK-AMo,Random Forest,52,2.42239,1.75645,0.56206
UK-AMo,Random Forest,53,2.41747,1.74317,0.56384
UK-AMo,Random Forest,54,2.4253,1.74027,0.56101
UK-AMo,Random Forest,55,2.43754,1.74483,0.55658
UK-AMo,Random Forest,56,2.45609,1.75958,0.5498
UK-AMo,Random Forest,57,2.48182,1.77954,0.54033
UK-AMo,Random Forest,58,2.50173,1.79943,0.53292
UK-AMo,Random Forest,59,2.51648,1.81637,0.5274
UK-AMo,Random Forest,60,2.51404,1.81808,0.52832
UK-AMo,Random Forest,61,2.49795,1.80479,0.53433
UK-AMo,Random Forest,62,2.48038,1.77994,0.54086
UK-AMo,Random Forest,63,2.46278,1.75738,0.54734
UK-AMo,Random Forest,64,2.45407,1.74074,0.55054
UK-AMo,Random Forest,65,2.44693,1.72658,0.55316
UK-AMo,Random Forest,66,2.44947,1.72837,0.55224
UK-AMo,Random Forest,67,2.45812,1.74023,0.54908
UK-AMo,Random Forest,68,2.47417,1.76616,0.54318
UK-AMo,Random Forest,69,2.49113,1.79088,0.53689
UK-AMo,Random Forest,70,2.51542,1.82565,0.52782
UK-AMo,Random Forest,71,2.5305,1.85382,0.52214
UK-AMo,Random Forest,72,2.53524,1.86602,0.52035
UK-AMo,Random Forest,73,2.53851,1.8646,0.51912
UK-AMo,Random Forest,74,2.54313,1.85915,0.51736
UK-AMo,Random Forest,75,2.54373,1.8472,0.51713
