Config,Group,Label,Model,Site,N_train,CI_lo,CI_hi,R2,RMSE,R2_h1,R2_h24,R2_h96,R2_mean
A_cov_020pct,Coverage,20% data,Random Forest,UK-AMo,4779,-0.17176001013245232,-0.1542323706544139,-0.16299597488280892,3.947526573636683,0.31715168083739753,0.18548495343582128,-0.4801921820421591,-0.16297845105564496
A_cov_020pct,Coverage,20% data,Random Forest,SE-Htm,4779,0.33829520778867955,0.3486428684501511,0.3437183317612842,5.893639899005345,0.46958042033118985,0.4337149583563561,0.24724256177758874,0.34424823336905824
A_cov_020pct,Coverage,20% data,XGBoost,UK-AMo,4779,0.013435441255569457,0.024095438420772552,0.01882082223892212,3.625852346420288,0.6863909065723419,-0.15804803371429443,-0.13643836975097656,0.018828051164746284
A_cov_020pct,Coverage,20% data,XGBoost,SE-Htm,4779,0.20182646065950394,0.2095657020807266,0.20594191551208496,6.482829570770264,0.46327728033065796,0.22667813301086426,0.0960472822189331,0.20667366993923983
A_cov_020pct,Coverage,20% data,LSTM,UK-AMo,4779,0.057655911147594455,0.06785474717617035,0.06214505434036255,3.544898271560669,0.057049572467803955,0.09492862224578857,0.09297305345535278,0.06214574662347635
A_cov_020pct,Coverage,20% data,LSTM,SE-Htm,4779,0.05162108987569809,0.056884415447711945,0.054191529750823975,7.075222015380859,0.022582650184631348,0.05009418725967407,0.08657187223434448,0.054235570753614105
A_cov_040pct,Coverage,40% data,Random Forest,UK-AMo,5000,0.17882013304452896,0.19020098476919678,0.18401595894087308,3.3065629021720313,0.3171691190295519,0.23200412953174965,0.153676259193808,0.18401781048431318
A_cov_040pct,Coverage,40% data,Random Forest,SE-Htm,5000,0.265736942424019,0.2769255173281421,0.2715978114255082,6.209034618722953,0.37547655817392633,0.3503976956092324,0.25073167720491396,0.27192358382499876
A_cov_040pct,Coverage,40% data,XGBoost,UK-AMo,5000,0.3507325515151024,0.35929433554410933,0.355340838432312,2.93900990486145,0.6812507212162018,0.4565240144729614,0.28064626455307007,0.3553446534400185
A_cov_040pct,Coverage,40% data,XGBoost,SE-Htm,5000,0.31620892584323884,0.32259182929992675,0.31936919689178467,6.001976013183594,0.47236168384552,0.3628527522087097,0.22949343919754028,0.31978266810377437
A_cov_040pct,Coverage,40% data,LSTM,UK-AMo,5000,-0.013955220580101013,0.009591624140739427,-0.003931522369384766,3.6676509380340576,0.08504784107208252,0.01840442419052124,0.000689387321472168,-0.003930150220791499
A_cov_040pct,Coverage,40% data,LSTM,SE-Htm,5000,0.14310171753168105,0.15120247155427932,0.14672797918319702,6.720200061798096,0.17390292882919312,0.15549755096435547,0.12139838933944702,0.1468069994201263
A_cov_060pct,Coverage,60% data,Random Forest,UK-AMo,5000,0.3989369187063449,0.40925584603997955,0.4043402517344564,2.825108183917975,0.5396701378819722,0.4621477954607506,0.32831516653297554,0.4043433382508987
A_cov_060pct,Coverage,60% data,Random Forest,SE-Htm,5000,0.309527195330906,0.3194189207548729,0.31458897978756295,6.0230157896046626,0.38632466009684796,0.34980960629831315,0.2634162256010395,0.3148596432305169
A_cov_060pct,Coverage,60% data,XGBoost,UK-AMo,5000,0.4257035791873932,0.4355679705739021,0.430996298789978,2.761172294616699,0.7254306972026825,0.528096467256546,0.34465670585632324,0.43100038915872574
A_cov_060pct,Coverage,60% data,XGBoost,SE-Htm,5000,0.34539246261119844,0.35271913707256314,0.34923088550567627,5.868834972381592,0.44994407892227173,0.37979960441589355,0.29538458585739136,0.3495815445979436
A_cov_060pct,Coverage,60% data,LSTM,UK-AMo,5000,0.13028095662593842,0.1480760917067528,0.1396467089653015,3.395270347595215,0.25029999017715454,0.24338871240615845,0.16476231813430786,0.13964758068323135
A_cov_060pct,Coverage,60% data,LSTM,SE-Htm,5000,0.2489599123597145,0.26092191636562345,0.25388431549072266,6.2840776443481445,0.2668215036392212,0.27405279874801636,0.27606064081192017,0.2538762850066026
A_cov_080pct,Coverage,80% data,Random Forest,UK-AMo,5000,0.5629163086586603,0.5821833292841273,0.571743541248303,2.395454450458841,0.679202788228101,0.6272749275011911,0.465367584237638,0.5717470401006244
