Site,Model,NominalCoverage,PICP,MeanIntervalWidth,CalibrationError
UK-AMo,LSTM_MC_Dropout,0.5,0.203,1.2239,0.297
UK-AMo,LSTM_MC_Dropout,0.6,0.2505,1.5268,0.3495
UK-AMo,LSTM_MC_Dropout,0.7,0.3043,1.8788,0.3957
UK-AMo,LSTM_MC_Dropout,0.8,0.3699,2.3195,0.4301
UK-AMo,LSTM_MC_Dropout,0.9,0.4616,2.9631,0.4384
UK-AMo,LSTM_MC_Dropout,0.95,0.5332,3.5084,0.4168
UK-AMo,RF_Ensemble,0.5,0.5015,3.239,0.0015
UK-AMo,RF_Ensemble,0.6,0.5978,4.0373,0.0022
UK-AMo,RF_Ensemble,0.7,0.689,4.9667,0.011
UK-AMo,RF_Ensemble,0.8,0.7819,6.1314,0.0181
UK-AMo,RF_Ensemble,0.9,0.8741,7.8324,0.0259
UK-AMo,RF_Ensemble,0.95,0.9225,9.2609,0.0275
UK-AMo,XGBoost_Quantile,0.6,0.414,1.2925,0.186
UK-AMo,XGBoost_Quantile,0.8,0.84,2.9001,0.04
UK-AMo,XGBoost_Quantile,0.9,0.858,3.3587,0.042
SE-Htm,LSTM_MC_Dropout,0.5,0.088,1.0797,0.412
SE-Htm,LSTM_MC_Dropout,0.6,0.11,1.3486,0.49
SE-Htm,LSTM_MC_Dropout,0.7,0.1378,1.6629,0.5622
SE-Htm,LSTM_MC_Dropout,0.8,0.172,2.0581,0.628
SE-Htm,LSTM_MC_Dropout,0.9,0.2202,2.6398,0.6798
SE-Htm,LSTM_MC_Dropout,0.95,0.2589,3.131,0.6911
SE-Htm,RF_Ensemble,0.5,0.2254,2.8943,0.2746
SE-Htm,RF_Ensemble,0.6,0.2819,3.6088,0.3181
SE-Htm,RF_Ensemble,0.7,0.3422,4.4409,0.3578
SE-Htm,RF_Ensemble,0.8,0.4139,5.4826,0.3861
SE-Htm,RF_Ensemble,0.9,0.5097,7.0043,0.3903
SE-Htm,RF_Ensemble,0.95,0.583,8.2815,0.367
SE-Htm,XGBoost_Quantile,0.6,0.298,2.2986,0.302
SE-Htm,XGBoost_Quantile,0.8,0.492,3.0459,0.308
SE-Htm,XGBoost_Quantile,0.9,0.572,3.9454,0.328
